name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,IsData,generator,additionalSelection,run
,,,,,,,,,,,
SingleElectron_Run2016D,/SingleElectron/Run2016D-03Feb2017-v1/MINIAOD,148167727,1,0.0,1,/SingleElectron/mwassmer-Skim-V1_3j20_1l20_Run2016D-ebfa21a6610d0b639e4a84f26a128382/USER,80X_dataRun2_2016SeptRepro_v7,TRUE,notSpecified,NONE,2016D
SingleElectron_Run2016E,/SingleElectron/Run2016E-03Feb2017-v1/MINIAOD,117321545,1,0.0,1,/SingleElectron/mwassmer-Skim-V1_3j20_1l20_Run2016E-ebfa21a6610d0b639e4a84f26a128382/USER,80X_dataRun2_2016SeptRepro_v7,TRUE,notSpecified,NONE,2016E
SingleElectron_Run2016F,/SingleElectron/Run2016F-03Feb2017-v1/MINIAOD,70593532,1,0.0,1,/SingleElectron/mwassmer-Skim-V1_3j20_1l20_Run2016F-ebfa21a6610d0b639e4a84f26a128382/USER,80X_dataRun2_2016SeptRepro_v7,TRUE,notSpecified,NONE,2016F
SingleElectron_Run2016G,/SingleElectron/Run2016G-03Feb2017-v1/MINIAOD,153330123,1,0.0,1,/SingleElectron/mwassmer-Skim-V1_3j20_1l20_Run2016G-ebfa21a6610d0b639e4a84f26a128382/USER,80X_dataRun2_2016SeptRepro_v7,TRUE,notSpecified,NONE,2016G
SingleElectron_Run2016Hv2,/SingleElectron/Run2016H-03Feb2017_ver2-v1/MINIAOD,125826667,1,0.0,1,/SingleElectron/mwassmer-Skim-V1_3j20_1l20_Run2016Hv2-ebfa21a6610d0b639e4a84f26a128382/USER,80X_dataRun2_2016SeptRepro_v7,TRUE,notSpecified,NONE,2016Hv2
SingleElectron_Run2016Hv3,/SingleElectron/Run2016H-03Feb2017_ver3-v1/MINIAOD,3191585,1,0.0,1,/SingleElectron/mwassmer-Skim-V1_3j20_1l20_Run2016Hv3-ebfa21a6610d0b639e4a84f26a128382/USER,80X_dataRun2_2016SeptRepro_v7,TRUE,notSpecified,NONE,2016Hv3
SingleElectron_Run2016B,/SingleElectron/Run2016B-03Feb2017_ver2-v2/MINIAOD,246440440,1,0.0,1,/SingleElectron/mwassmer-Skim-V1_3j20_1l20_Run2016B-ebfa21a6610d0b639e4a84f26a128382/USER,80X_dataRun2_2016SeptRepro_v7,TRUE,notSpecified,NONE,2016B
SingleElectron_Run2016C,/SingleElectron/Run2016C-03Feb2017-v1/MINIAOD,97259854,1,0.0,1,/SingleElectron/mwassmer-Skim-V1_3j20_1l20_Run2016C-ebfa21a6610d0b639e4a84f26a128382/USER,80X_dataRun2_2016SeptRepro_v7,TRUE,notSpecified,NONE,2016C
,,,,,,,,,,,
SingleMuon_Run2016Hv3,/SingleMuon/Run2016H-03Feb2017_ver3-v1/MINIAOD,4393029,1,0.0,1,/SingleMuon/mwassmer-Skim-V1_3j20_1l20_Run2016Hv3-ebfa21a6610d0b639e4a84f26a128382/USER,80X_dataRun2_2016SeptRepro_v7,TRUE,notSpecified,NONE,2016Hv3
SingleMuon_Run2016B,/SingleMuon/Run2016B-03Feb2017_ver2-v2/MINIAOD,158145722,1,0.0,1,/SingleMuon/mwassmer-Skim-V1_3j20_1l20_Run2016B-ebfa21a6610d0b639e4a84f26a128382/USER,80X_dataRun2_2016SeptRepro_v7,TRUE,notSpecified,NONE,2016B
SingleMuon_Run2016C,/SingleMuon/Run2016C-03Feb2017-v1/MINIAOD,67441308,1,0.0,1,/SingleMuon/mwassmer-Skim-V1_3j20_1l20_Run2016C-ebfa21a6610d0b639e4a84f26a128382/USER,80X_dataRun2_2016SeptRepro_v7,TRUE,notSpecified,NONE,2016C
SingleMuon_Run2016D,/SingleMuon/Run2016D-03Feb2017-v1/MINIAOD,98017996,1,0.0,1,/SingleMuon/mwassmer-Skim-V1_3j20_1l20_Run2016C-ebfa21a6610d0b639e4a84f26a128382/USER,80X_dataRun2_2016SeptRepro_v7,TRUE,notSpecified,NONE,2016D
SingleMuon_Run2016E,/SingleMuon/Run2016E-03Feb2017-v1/MINIAOD,90963495,1,0.0,1,/SingleMuon/mwassmer-Skim-V1_3j20_1l20_Run2016E-ebfa21a6610d0b639e4a84f26a128382/USER,80X_dataRun2_2016SeptRepro_v7,TRUE,notSpecified,NONE,2016E
SingleMuon_Run2016F,/SingleMuon/Run2016F-03Feb2017-v1/MINIAOD,65489554,1,0.0,1,/SingleMuon/mwassmer-Skim-V1_3j20_1l20_Run2016F-ebfa21a6610d0b639e4a84f26a128382/USER,80X_dataRun2_2016SeptRepro_v7,TRUE,notSpecified,NONE,2016F
SingleMuon_Run2016G,/SingleMuon/Run2016G-03Feb2017-v1/MINIAOD,149916849,1,0.0,1,/SingleMuon/mwassmer-Skim-V1_3j20_1l20_Run2016G-ebfa21a6610d0b639e4a84f26a128382/USER,80X_dataRun2_2016SeptRepro_v7,TRUE,notSpecified,NONE,2016G
SingleMuon_Run2016Hv2,/SingleMuon/Run2016H-03Feb2017_ver2-v1/MINIAOD,169642135,1,0.0,1,/SingleMuon/mwassmer-Skim-V1_3j20_1l20_Run2016Hv2-ebfa21a6610d0b639e4a84f26a128382/USER,80X_dataRun2_2016SeptRepro_v7,TRUE,notSpecified,NONE,2016Hv2
